"filename", "language", "JSON with Comments", "JavaScript", "Markdown", "Shell Script", "TypeScript", "PowerShell", "JSON", "XML", "TypeScript JSX", "PostCSS", "HTML", "comment", "blank", "total"
"c:\Users\ADMIN\Desktop\residentone-workflow\DATABASE_UPDATE_SUMMARY.md", "Markdown", 0, 0, 25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 33
"c:\Users\ADMIN\Desktop\residentone-workflow\DEPLOYMENT.md", "Markdown", 0, 0, 90, 0, 0, 0, 0, 0, 0, 0, 0, 0, 28, 118
"c:\Users\ADMIN\Desktop\residentone-workflow\DEPLOYMENT_CHECKLIST.md", "Markdown", 0, 0, 143, 0, 0, 0, 0, 0, 0, 0, 0, 0, 36, 179
"c:\Users\ADMIN\Desktop\residentone-workflow\DEPLOYMENT_READY.md", "Markdown", 0, 0, 76, 0, 0, 0, 0, 0, 0, 0, 0, 0, 29, 105
"c:\Users\ADMIN\Desktop\residentone-workflow\DEPLOYMENT_SUMMARY.md", "Markdown", 0, 0, 171, 0, 0, 0, 0, 0, 0, 0, 0, 0, 43, 214
"c:\Users\ADMIN\Desktop\residentone-workflow\DEPLOY_NEW_FFE_SYSTEM.md", "Markdown", 0, 0, 189, 0, 0, 0, 0, 0, 0, 0, 0, 0, 71, 260
"c:\Users\ADMIN\Desktop\residentone-workflow\DESIGN-CONCEPT-V2-COMPLETE.md", "Markdown", 0, 0, 243, 0, 0, 0, 0, 0, 0, 0, 0, 0, 56, 299
"c:\Users\ADMIN\Desktop\residentone-workflow\DESIGN-CONCEPT-V2-IMPLEMENTATION.md", "Markdown", 0, 0, 227, 0, 0, 0, 0, 0, 0, 0, 0, 0, 57, 284
"c:\Users\ADMIN\Desktop\residentone-workflow\DESIGN-CONCEPT-V2-TESTING.md", "Markdown", 0, 0, 146, 0, 0, 0, 0, 0, 0, 0, 0, 0, 46, 192
"c:\Users\ADMIN\Desktop\residentone-workflow\DESIGN-CONCEPT-V2-UPDATES.md", "Markdown", 0, 0, 135, 0, 0, 0, 0, 0, 0, 0, 0, 0, 34, 169
"c:\Users\ADMIN\Desktop\residentone-workflow\DESIGN_CONCEPT_FUNCTIONALITY.md", "Markdown", 0, 0, 134, 0, 0, 0, 0, 0, 0, 0, 0, 0, 41, 175
"c:\Users\ADMIN\Desktop\residentone-workflow\DESKTOP_NOTIFICATIONS.md", "Markdown", 0, 0, 136, 0, 0, 0, 0, 0, 0, 0, 0, 0, 51, 187
"c:\Users\ADMIN\Desktop\residentone-workflow\DRAWING_PHASE_ENHANCEMENTS.md", "Markdown", 0, 0, 233, 0, 0, 0, 0, 0, 0, 0, 0, 0, 75, 308
"c:\Users\ADMIN\Desktop\residentone-workflow\DROPBOX_11_FOLDERS_UPDATE_SUMMARY.md", "Markdown", 0, 0, 155, 0, 0, 0, 0, 0, 0, 0, 0, 0, 53, 208
"c:\Users\ADMIN\Desktop\residentone-workflow\DROPBOX_FOLDERS_UPDATED.md", "Markdown", 0, 0, 138, 0, 0, 0, 0, 0, 0, 0, 0, 0, 43, 181
"c:\Users\ADMIN\Desktop\residentone-workflow\DROPBOX_SETUP.example.md", "Markdown", 0, 0, 82, 0, 0, 0, 0, 0, 0, 0, 0, 0, 34, 116
"c:\Users\ADMIN\Desktop\residentone-workflow\DROPBOX_SETUP.md", "Markdown", 0, 0, 88, 0, 0, 0, 0, 0, 0, 0, 0, 0, 30, 118
"c:\Users\ADMIN\Desktop\residentone-workflow\EMAIL_SETUP.md", "Markdown", 0, 0, 91, 0, 0, 0, 0, 0, 0, 0, 0, 0, 32, 123
"c:\Users\ADMIN\Desktop\residentone-workflow\EMAIL_SYSTEM_README.md", "Markdown", 0, 0, 144, 0, 0, 0, 0, 0, 0, 0, 0, 0, 44, 188
"c:\Users\ADMIN\Desktop\residentone-workflow\EMAIL_TROUBLESHOOTING.md", "Markdown", 0, 0, 62, 0, 0, 0, 0, 0, 0, 0, 0, 0, 25, 87
"c:\Users\ADMIN\Desktop\residentone-workflow\EMERGENCY_RESTORE.js", "JavaScript", 0, 121, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 17, 149
"c:\Users\ADMIN\Desktop\residentone-workflow\FFE_ANALYSIS.md", "Markdown", 0, 0, 252, 0, 0, 0, 0, 0, 0, 0, 0, 0, 74, 326
"c:\Users\ADMIN\Desktop\residentone-workflow\FFE_BATHROOM_PRESET_LIBRARY_FIXES.md", "Markdown", 0, 0, 123, 0, 0, 0, 0, 0, 0, 0, 0, 0, 36, 159
"c:\Users\ADMIN\Desktop\residentone-workflow\FFE_ENHANCED_FEATURES.md", "Markdown", 0, 0, 93, 0, 0, 0, 0, 0, 0, 0, 0, 0, 31, 124
"c:\Users\ADMIN\Desktop\residentone-workflow\FFE_ENHANCEMENTS_GUIDE.md", "Markdown", 0, 0, 357, 0, 0, 0, 0, 0, 0, 0, 0, 0, 99, 456
"c:\Users\ADMIN\Desktop\residentone-workflow\FFE_FEATURES_SUMMARY.md", "Markdown", 0, 0, 181, 0, 0, 0, 0, 0, 0, 0, 0, 0, 55, 236
"c:\Users\ADMIN\Desktop\residentone-workflow\FFE_LINKED_ITEMS_FIXES.md", "Markdown", 0, 0, 150, 0, 0, 0, 0, 0, 0, 0, 0, 0, 37, 187
"c:\Users\ADMIN\Desktop\residentone-workflow\FFE_LINKED_ITEMS_IMPLEMENTATION.md", "Markdown", 0, 0, 244, 0, 0, 0, 0, 0, 0, 0, 0, 0, 65, 309
"c:\Users\ADMIN\Desktop\residentone-workflow\FFE_LINKED_ITEMS_TEST.md", "Markdown", 0, 0, 144, 0, 0, 0, 0, 0, 0, 0, 0, 0, 34, 178
"c:\Users\ADMIN\Desktop\residentone-workflow\FFE_PRESET_ITEMS_IMPLEMENTATION.md", "Markdown", 0, 0, 90, 0, 0, 0, 0, 0, 0, 0, 0, 0, 25, 115
"c:\Users\ADMIN\Desktop\residentone-workflow\FFE_ROOM_TYPE_MAPPING_FIX.md", "Markdown", 0, 0, 96, 0, 0, 0, 0, 0, 0, 0, 0, 0, 22, 118
"c:\Users\ADMIN\Desktop\residentone-workflow\FFE_SYSTEM_COMPLETE.md", "Markdown", 0, 0, 243, 0, 0, 0, 0, 0, 0, 0, 0, 0, 64, 307
"c:\Users\ADMIN\Desktop\residentone-workflow\FFE_SYSTEM_REDESIGN_COMPLETE.md", "Markdown", 0, 0, 251, 0, 0, 0, 0, 0, 0, 0, 0, 0, 77, 328
"c:\Users\ADMIN\Desktop\residentone-workflow\FFE_TEST_WORKFLOW.md", "Markdown", 0, 0, 106, 0, 0, 0, 0, 0, 0, 0, 0, 0, 21, 127
"c:\Users\ADMIN\Desktop\residentone-workflow\FFE_TREE_STRUCTURE_TEST.md", "Markdown", 0, 0, 97, 0, 0, 0, 0, 0, 0, 0, 0, 0, 24, 121
"c:\Users\ADMIN\Desktop\residentone-workflow\FFE_VISUAL_GUIDE.md", "Markdown", 0, 0, 481, 0, 0, 0, 0, 0, 0, 0, 0, 0, 83, 564
"c:\Users\ADMIN\Desktop\residentone-workflow\FINAL_DIAGNOSIS.md", "Markdown", 0, 0, 200, 0, 0, 0, 0, 0, 0, 0, 0, 0, 61, 261
"c:\Users\ADMIN\Desktop\residentone-workflow\FIX_ALL_RELATIONS.md", "Markdown", 0, 0, 88, 0, 0, 0, 0, 0, 0, 0, 0, 0, 22, 110
"c:\Users\ADMIN\Desktop\residentone-workflow\FIX_PRISMA_CLIENT.md", "Markdown", 0, 0, 89, 0, 0, 0, 0, 0, 0, 0, 0, 0, 39, 128
"c:\Users\ADMIN\Desktop\residentone-workflow\FIX_UPLOAD_SYNC.md", "Markdown", 0, 0, 58, 0, 0, 0, 0, 0, 0, 0, 0, 0, 25, 83
"c:\Users\ADMIN\Desktop\residentone-workflow\HARDCODED_DEFAULTS_REMOVAL_COMPLETE.md", "Markdown", 0, 0, 134, 0, 0, 0, 0, 0, 0, 0, 0, 0, 34, 168
"c:\Users\ADMIN\Desktop\residentone-workflow\ICON-SYSTEM-LUCIDE.md", "Markdown", 0, 0, 160, 0, 0, 0, 0, 0, 0, 0, 0, 0, 43, 203
"c:\Users\ADMIN\Desktop\residentone-workflow\IMPLEMENTATION_SUMMARY.md", "Markdown", 0, 0, 140, 0, 0, 0, 0, 0, 0, 0, 0, 0, 35, 175
"c:\Users\ADMIN\Desktop\residentone-workflow\INBOX_MENTIONS_GUIDE.md", "Markdown", 0, 0, 98, 0, 0, 0, 0, 0, 0, 0, 0, 0, 27, 125
"c:\Users\ADMIN\Desktop\residentone-workflow\ISSUE_FIXED.md", "Markdown", 0, 0, 68, 0, 0, 0, 0, 0, 0, 0, 0, 0, 24, 92
"c:\Users\ADMIN\Desktop\residentone-workflow\LOGIC_ITEMS_COMPLETION_IMPLEMENTATION.md", "Markdown", 0, 0, 112, 0, 0, 0, 0, 0, 0, 0, 0, 0, 29, 141
"c:\Users\ADMIN\Desktop\residentone-workflow\LOGIC_OPTIONS_MANAGEMENT_UPDATE.md", "Markdown", 0, 0, 79, 0, 0, 0, 0, 0, 0, 0, 0, 0, 21, 100
"c:\Users\ADMIN\Desktop\residentone-workflow\MIGRATION-COMPLETE.md", "Markdown", 0, 0, 90, 0, 0, 0, 0, 0, 0, 0, 0, 0, 28, 118
"c:\Users\ADMIN\Desktop\residentone-workflow\MIGRATION_INSTRUCTIONS.md", "Markdown", 0, 0, 49, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 62
"c:\Users\ADMIN\Desktop\residentone-workflow\NEW_FFE_SYSTEM_IMPLEMENTATION_STATUS.md", "Markdown", 0, 0, 171, 0, 0, 0, 0, 0, 0, 0, 0, 0, 44, 215
"c:\Users\ADMIN\Desktop\residentone-workflow\NOTIFICATION_PREFERENCES_SETUP.md", "Markdown", 0, 0, 144, 0, 0, 0, 0, 0, 0, 0, 0, 0, 56, 200
"c:\Users\ADMIN\Desktop\residentone-workflow\PDF_EMBEDDING_DELETION_FIX.md", "Markdown", 0, 0, 85, 0, 0, 0, 0, 0, 0, 0, 0, 0, 26, 111
"c:\Users\ADMIN\Desktop\residentone-workflow\PHASE_NOTIFICATION_SYSTEM.md", "Markdown", 0, 0, 290, 0, 0, 0, 0, 0, 0, 0, 0, 0, 92, 382
"c:\Users\ADMIN\Desktop\residentone-workflow\PHASE_NOT_APPLICABLE_FEATURE.md", "Markdown", 0, 0, 129, 0, 0, 0, 0, 0, 0, 0, 0, 0, 36, 165
"c:\Users\ADMIN\Desktop\residentone-workflow\PHASE_WORKFLOW_ENHANCEMENTS.md", "Markdown", 0, 0, 188, 0, 0, 0, 0, 0, 0, 0, 0, 0, 56, 244
"c:\Users\ADMIN\Desktop\residentone-workflow\PHONE_NUMBER_SETUP.md", "Markdown", 0, 0, 88, 0, 0, 0, 0, 0, 0, 0, 0, 0, 27, 115
"c:\Users\ADMIN\Desktop\residentone-workflow\PRISMA-PROTECTION.md", "Markdown", 0, 0, 60, 0, 0, 0, 0, 0, 0, 0, 0, 0, 25, 85
"c:\Users\ADMIN\Desktop\residentone-workflow\PROJECT_UPDATES_IMPLEMENTATION_GUIDE.md", "Markdown", 0, 0, 240, 0, 0, 0, 0, 0, 0, 0, 0, 0, 71, 311
"c:\Users\ADMIN\Desktop\residentone-workflow\README.md", "Markdown", 0, 0, 269, 0, 0, 0, 0, 0, 0, 0, 0, 0, 79, 348
"c:\Users\ADMIN\Desktop\residentone-workflow\README_FFE_REDESIGN.md", "Markdown", 0, 0, 168, 0, 0, 0, 0, 0, 0, 0, 0, 0, 49, 217
"c:\Users\ADMIN\Desktop\residentone-workflow\RENDERING_IMAGES_FIX.md", "Markdown", 0, 0, 50, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 63
"c:\Users\ADMIN\Desktop\residentone-workflow\RENDERING_WORKSPACE_IMPLEMENTATION.md", "Markdown", 0, 0, 182, 0, 0, 0, 0, 0, 0, 0, 0, 0, 55, 237
"c:\Users\ADMIN\Desktop\residentone-workflow\RESEND_EMAIL_SETUP.md", "Markdown", 0, 0, 74, 0, 0, 0, 0, 0, 0, 0, 0, 0, 22, 96
"c:\Users\ADMIN\Desktop\residentone-workflow\RESET_COMPLETE.md", "Markdown", 0, 0, 76, 0, 0, 0, 0, 0, 0, 0, 0, 0, 29, 105
"c:\Users\ADMIN\Desktop\residentone-workflow\RESTORATION_COMPLETE.md", "Markdown", 0, 0, 70, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 90
"c:\Users\ADMIN\Desktop\residentone-workflow\RESTORATION_REPORT.md", "Markdown", 0, 0, 102, 0, 0, 0, 0, 0, 0, 0, 0, 0, 22, 124
"c:\Users\ADMIN\Desktop\residentone-workflow\SCHEMA_COMPARISON_RESULT.md", "Markdown", 0, 0, 126, 0, 0, 0, 0, 0, 0, 0, 0, 0, 32, 158
"c:\Users\ADMIN\Desktop\residentone-workflow\SECURITY.md", "Markdown", 0, 0, 87, 0, 0, 0, 0, 0, 0, 0, 0, 0, 28, 115
"c:\Users\ADMIN\Desktop\residentone-workflow\SELECTIVE_TEMPLATE_IMPORT_TEST.md", "Markdown", 0, 0, 122, 0, 0, 0, 0, 0, 0, 0, 0, 0, 32, 154
"c:\Users\ADMIN\Desktop\residentone-workflow\SIMPLIFIED_FFE_WORKSPACE.md", "Markdown", 0, 0, 59, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 76
"c:\Users\ADMIN\Desktop\residentone-workflow\SMS_SETUP_COMPLETE.md", "Markdown", 0, 0, 121, 0, 0, 0, 0, 0, 0, 0, 0, 0, 41, 162
"c:\Users\ADMIN\Desktop\residentone-workflow\SMS_SETUP_GUIDE.md", "Markdown", 0, 0, 147, 0, 0, 0, 0, 0, 0, 0, 0, 0, 56, 203
"c:\Users\ADMIN\Desktop\residentone-workflow\SMS_TROUBLESHOOTING.md", "Markdown", 0, 0, 177, 0, 0, 0, 0, 0, 0, 0, 0, 0, 60, 237
"c:\Users\ADMIN\Desktop\residentone-workflow\SPEC_BOOK_REDESIGN.md", "Markdown", 0, 0, 89, 0, 0, 0, 0, 0, 0, 0, 0, 0, 22, 111
"c:\Users\ADMIN\Desktop\residentone-workflow\SPEC_BOOK_REDESIGN_IMPLEMENTATION.md", "Markdown", 0, 0, 207, 0, 0, 0, 0, 0, 0, 0, 0, 0, 46, 253
"c:\Users\ADMIN\Desktop\residentone-workflow\STORAGE_ANALYSIS_REPORT.md", "Markdown", 0, 0, 251, 0, 0, 0, 0, 0, 0, 0, 0, 0, 64, 315
"c:\Users\ADMIN\Desktop\residentone-workflow\STORAGE_USAGE_ANALYSIS.md", "Markdown", 0, 0, 117, 0, 0, 0, 0, 0, 0, 0, 0, 0, 35, 152
"c:\Users\ADMIN\Desktop\residentone-workflow\TESTING_GUIDE.md", "Markdown", 0, 0, 89, 0, 0, 0, 0, 0, 0, 0, 0, 0, 31, 120
"c:\Users\ADMIN\Desktop\residentone-workflow\UI_IMPROVEMENTS.md", "Markdown", 0, 0, 65, 0, 0, 0, 0, 0, 0, 0, 0, 0, 23, 88
"c:\Users\ADMIN\Desktop\residentone-workflow\VERCEL_DEPLOYMENT.md", "Markdown", 0, 0, 130, 0, 0, 0, 0, 0, 0, 0, 0, 0, 38, 168
"c:\Users\ADMIN\Desktop\residentone-workflow\VERCEL_ENV_SETUP.example.md", "Markdown", 0, 0, 87, 0, 0, 0, 0, 0, 0, 0, 0, 0, 31, 118
"c:\Users\ADMIN\Desktop\residentone-workflow\WARP.md", "Markdown", 0, 0, 162, 0, 0, 0, 0, 0, 0, 0, 0, 0, 48, 210
"c:\Users\ADMIN\Desktop\residentone-workflow\WHATS-BUILT-NOW.md", "Markdown", 0, 0, 276, 0, 0, 0, 0, 0, 0, 0, 0, 0, 75, 351
"c:\Users\ADMIN\Desktop\residentone-workflow\WORKFLOW_README.md", "Markdown", 0, 0, 169, 0, 0, 0, 0, 0, 0, 0, 0, 0, 49, 218
"c:\Users\ADMIN\Desktop\residentone-workflow\WORKSPACE_VERSIONS_EXPLAINED.md", "Markdown", 0, 0, 66, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 84
"c:\Users\ADMIN\Desktop\residentone-workflow\__tests__\api\projects.test.ts", "TypeScript", 0, 0, 0, 0, 164, 0, 0, 0, 0, 0, 0, 4, 29, 197
"c:\Users\ADMIN\Desktop\residentone-workflow\__tests__\api\team\validation.test.ts", "TypeScript", 0, 0, 0, 0, 149, 0, 0, 0, 0, 0, 0, 5, 27, 181
"c:\Users\ADMIN\Desktop\residentone-workflow\__tests__\components\project-updates.test.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 267, 0, 0, 12, 38, 317
"c:\Users\ADMIN\Desktop\residentone-workflow\__tests__\ffe\api\templates.integration.test.ts", "TypeScript", 0, 0, 0, 0, 415, 0, 0, 0, 0, 0, 0, 11, 77, 503
"c:\Users\ADMIN\Desktop\residentone-workflow\__tests__\ffe\services\ffe-template-service.test.ts", "TypeScript", 0, 0, 0, 0, 562, 0, 0, 0, 0, 0, 0, 8, 78, 648
"c:\Users\ADMIN\Desktop\residentone-workflow\analyze-backup.js", "JavaScript", 0, 99, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 23, 131
"c:\Users\ADMIN\Desktop\residentone-workflow\backfill-blob-urls.js", "JavaScript", 0, 77, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 21, 106
"c:\Users\ADMIN\Desktop\residentone-workflow\check-all-tables.js", "JavaScript", 0, 45, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 15, 63
"c:\Users\ADMIN\Desktop\residentone-workflow\check-all.js", "JavaScript", 0, 56, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 62
"c:\Users\ADMIN\Desktop\residentone-workflow\check-assets.js", "JavaScript", 0, 79, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 12, 93
"c:\Users\ADMIN\Desktop\residentone-workflow\check-backup-assets.js", "JavaScript", 0, 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 29
"c:\Users\ADMIN\Desktop\residentone-workflow\check-backup.js", "JavaScript", 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 10
"c:\Users\ADMIN\Desktop\residentone-workflow\check-db-counts.js", "JavaScript", 0, 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 26
"c:\Users\ADMIN\Desktop\residentone-workflow\check-db.js", "JavaScript", 0, 25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 30
"c:\Users\ADMIN\Desktop\residentone-workflow\check-exact-content.js", "JavaScript", 0, 31, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 39
"c:\Users\ADMIN\Desktop\residentone-workflow\check-ffe-items.ts", "TypeScript", 0, 0, 0, 0, 53, 0, 0, 0, 0, 0, 0, 1, 8, 62
"c:\Users\ADMIN\Desktop\residentone-workflow\check-ffe.js", "JavaScript", 0, 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 27
"c:\Users\ADMIN\Desktop\residentone-workflow\check-project-covers.js", "JavaScript", 0, 100, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 16, 120
"c:\Users\ADMIN\Desktop\residentone-workflow\check-projects-quick.js", "JavaScript", 0, 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 28
"c:\Users\ADMIN\Desktop\residentone-workflow\check-rendering-assets.js", "JavaScript", 0, 78, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 13, 92
"c:\Users\ADMIN\Desktop\residentone-workflow\check-sections.js", "JavaScript", 0, 46, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 53
"c:\Users\ADMIN\Desktop\residentone-workflow\check-stage-data.js", "JavaScript", 0, 59, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 14, 75
"c:\Users\ADMIN\Desktop\residentone-workflow\check-user.js", "JavaScript", 0, 37, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5, 43
"c:\Users\ADMIN\Desktop\residentone-workflow\cleanup-all-old-users.ts", "TypeScript", 0, 0, 0, 0, 135, 0, 0, 0, 0, 0, 0, 7, 20, 162
"c:\Users\ADMIN\Desktop\residentone-workflow\cleanup-debug-statements.js", "JavaScript", 0, 198, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 8, 220
"c:\Users\ADMIN\Desktop\residentone-workflow\cleanup-hardcoded-ffe-data.js", "JavaScript", 0, 74, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 12, 94
"c:\Users\ADMIN\Desktop\residentone-workflow\complete-user-cleanup.ts", "TypeScript", 0, 0, 0, 0, 176, 0, 0, 0, 0, 0, 0, 17, 28, 221
"c:\Users\ADMIN\Desktop\residentone-workflow\create-your-admin.js", "JavaScript", 0, 62, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 15, 82
"c:\Users\ADMIN\Desktop\residentone-workflow\cypress\e2e\ffe\two-department-workflow.cy.ts", "TypeScript", 0, 0, 0, 0, 315, 0, 0, 0, 0, 0, 0, 76, 96, 487
"c:\Users\ADMIN\Desktop\residentone-workflow\deploy.sh", "Shell Script", 0, 0, 0, 23, 0, 0, 0, 0, 0, 0, 0, 6, 8, 37
"c:\Users\ADMIN\Desktop\residentone-workflow\direct_restore.ts", "TypeScript", 0, 0, 0, 0, 116, 0, 0, 0, 0, 0, 0, 15, 22, 153
"c:\Users\ADMIN\Desktop\residentone-workflow\docs\CAD_CONVERSION_PARAMETERS.md", "Markdown", 0, 0, 166, 0, 0, 0, 0, 0, 0, 0, 0, 0, 32, 198
"c:\Users\ADMIN\Desktop\residentone-workflow\docs\CAD_PREFERENCES_SYSTEM.md", "Markdown", 0, 0, 248, 0, 0, 0, 0, 0, 0, 0, 0, 0, 79, 327
"c:\Users\ADMIN\Desktop\residentone-workflow\docs\DRAWINGS_WORKSPACE.md", "Markdown", 0, 0, 156, 0, 0, 0, 0, 0, 0, 0, 0, 0, 41, 197
"c:\Users\ADMIN\Desktop\residentone-workflow\docs\FFE_API_ROUTES.md", "Markdown", 0, 0, 137, 0, 0, 0, 0, 0, 0, 0, 0, 0, 44, 181
"c:\Users\ADMIN\Desktop\residentone-workflow\docs\FFE_SYSTEM_USER_GUIDE.md", "Markdown", 0, 0, 354, 0, 0, 0, 0, 0, 0, 0, 0, 0, 112, 466
"c:\Users\ADMIN\Desktop\residentone-workflow\docs\FFE_TWO_DEPARTMENT_DEPLOYMENT_GUIDE.md", "Markdown", 0, 0, 242, 0, 0, 0, 0, 0, 0, 0, 0, 0, 83, 325
"c:\Users\ADMIN\Desktop\residentone-workflow\docs\FLOORPLAN_APPROVAL_SYSTEM.md", "Markdown", 0, 0, 266, 0, 0, 0, 0, 0, 0, 0, 0, 0, 63, 329
"c:\Users\ADMIN\Desktop\residentone-workflow\docs\STORAGE-AND-BACKUP.md", "Markdown", 0, 0, 185, 0, 0, 0, 0, 0, 0, 0, 0, 0, 68, 253
"c:\Users\ADMIN\Desktop\residentone-workflow\docs\storage.md", "Markdown", 0, 0, 135, 0, 0, 0, 0, 0, 0, 0, 0, 0, 55, 190
"c:\Users\ADMIN\Desktop\residentone-workflow\final-check.js", "JavaScript", 0, 86, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 16, 104
"c:\Users\ADMIN\Desktop\residentone-workflow\final-cleanup.js", "JavaScript", 0, 43, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 11, 57
"c:\Users\ADMIN\Desktop\residentone-workflow\find-all-design-data.js", "JavaScript", 0, 75, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 9, 86
